2004,3.54
2005,3.71
2006,3.79
2007,4.00
2008,4.64
2009,4.27
2010,4.26
2011,4.28
2012,4.11
2013,4.19
2014,4.36
2015,4.37
2016,4.46
2017,4.54
 ,
 ,
 ,
 ,
 ,
