2004,171632
2005,176769
2006,182207
2007,186859
2008,191690
2009,196670
2010,209596
2011,213213
2012,217063
2013,221207
2014,226698
2015,230127
2016,234523
2017,240315
 ,
 ,
 ,
 ,
 ,
