"","pb010","infl","personal_id"
"1","2004",83.5,"2004"
"2","2005",85,"2005"
"3","2006",86.5,"2006"
"4","2007",88,"2007"
"5","2008",91.2,"2008"
"6","2009",92.1,"2009"
"7","2010",94.1,"2010"
"8","2011",96.6,"2011"
"9","2012",98.9,"2012"
"10","2013",99.4,"2013"
"11","2014",99.8,"2014"
"12","2015",100,"2015"
"13","2016",100,"2016"
"14","2017",101.1,"2017"
