TIME,gini_pre_tax
2004,44.7
2005,44.5
2006,44.2
2007,45.2
2008,46.4
2009,58.8
2010,51.3
2011,50.8
2012,51.2
2013,51.4
2014,53.1
2015,51.7
2016,50.7
2017,49.9
