TIME,t10s
2004,20.3
2005,19.7
2006,19.9
2007,21.0
2008,21.1
2009,20.4
2010,20.8
2011,21.7
2012,21.8
2013,22.0
2014,22.9
2015,22.6
2016,23.1
2017,22.9
