TIME,QSR8020
2003,3.6
2004,3.4
2005,3.5
2006,3.4
2007,3.7
2008,3.6
2009,4.6
2010,4.4
2011,4.0
2012,3.9
2013,4.0
2014,4.1
2015,4.1
2016,4.1
2017,4.1
