TIME,Gini
2003,24.8
2004,23.9
2005,23.9
2006,23.7
2007,25.2
2008,25.1
2009,26.9
2010,26.9
2011,26.6
2012,26.5
2013,26.8
2014,27.7
2015,27.4
2016,27.7
2017,27.6
